shapeID,name,comunas_rurales,comunas_mixtas,comunas_totales,pct_rural,pct_rural_mixta
47653553B1207481020383,Arica y Parinacota,3,0,4,75.0,75.0
47653553B97418467345315,Tarapacá,5,0,7,71.4,71.4
47653553B40993810137393,Antofagasta,7,0,9,77.8,77.8
47653553B71653813080592,Atacama,7,0,9,77.8,77.8
47653553B91907313612474,Coquimbo,12,0,15,80.0,80.0
47653553B5611469222723,Valparaíso,11,18,38,28.9,76.3
47653553B78904739401519,Metropolitana,6,5,52,11.5,21.2
47653553B66141875659978,O'Higgins,16,13,33,48.5,87.9
47653553B65340542415201,Maule,19,7,30,63.3,86.7
47653553B32293817275864,Ñuble,16,4,21,76.2,95.2
47653553B66835736668351,Biobío,14,11,33,42.4,75.8
47653553B84299910343297,La Araucanía,20,10,32,62.5,93.8
47653553B67595840047202,Los Ríos,8,3,12,66.7,91.7
47653553B69224850096491,Los Lagos,23,5,30,76.7,93.3
47653553B77266651052380,Aysén,9,0,10,90.0,90.0
47653553B86325292267162,Magallanes,9,0,11,81.8,81.8
